clause,risk
"All right, title and interest in and to the Improved Conformis Background IP and KIB Product IP (""Joint IP"") shall be owned jointly by the Parties.",0
"A minimum of: 1 2-D Java Game, which shall include mutually agreed upon 3-D elements 1 Java Application ('Screensaver') where feasible 5 MMS 10 Wallpapers 5 Voicetones",1
"The term of this Agreement (the ""Term"") shall commence on the Effective Date and terminate at the end of the Exclusivity Period (i.e., a three (3) year period commencing on the Effective Date).",0
"The supply of the Miltenyi Products hereunder conveys to Bellicum the limited, non-exclusive, non-transferable (except as expressly provided herein, including as set forth in Article 17) right to use, and to permit its Subcontractors and Licensees to use the Miltenyi Products solely for Ex Vivo Cell Processing in the manufacture of Bellicum Products for use in the Field in the Territory (including for research, pre-clinical, clinical, regulatory and commercial purposes), in accordance with applicable Regulatory Authority requirements and approvals (including (to the extent applicable) any relevant clinical trial protocol, IND, and/or IRB approval pertaining to such Bellicum Products), in each case consistent with the terms and conditions of this Agreement and in accordance with Applicable Laws (the ""Permitted Use""). Bellicum's Permitted Use of the Miltenyi Products shall be limited to the Designated Countries, subject to Section 2.3.",1
MusclePharm agrees that any copyrights in works created based upon the Trademarks and/or Name and Appearance Rights shall become the rights of the AS Parties (as among them to be determined among them),0
"During the Term, subject to the terms and conditions of this Agreement, Depomed hereby grants to King and its Affiliates and King and its Affiliates hereby accept a co-exclusive right to Promote the Product under the Depomed Trademarks in the Territory together with Depomed and its Affiliates only, on the terms and subject to the conditions set forth herein.",0
"During the term of this Agreement and for a period of two (2) years after expiration or termination for any reason of this Agreement, Maimon agrees not to: (a) compete with the business of the Company, whether individually or through any entity, or to use (or permit the use of) any Confidential Information, directly or indirectly, for the purpose of competing with the business of the Company;",0
Section 7.02 Conditions to the Obligations of Parent and Merger Sub. <omitted> (a) Representations and Warranties.  The representations and warranties of the Company <omitted> (ii) set forth in Article IV (other than the Company Fundamental Representations) shall be true and correct both as of the date hereof and as of the Closing Date as if made on and as of the Closing Date (Page 55),0
"If Excite fails to deliver the guaranteed number of Impressions on the Excite Site during the first year, Excite will use commercially reasonable efforts to ""make good"" the shortfall.",0
"For all referrals under Section 6.1, except where NTC has evidence that it referral the customer (including its affiliates) to ALFA AESAR to purchase a prior sample of the Product in question, or where NTC has made sales to the customer (including its affiliates) referred to NTC by ALFA AESAR within a period of twelve (12) months before ALFA AESAR's referral under Section 6.1, NTC shall pay ALFA AESAR a commission at the rate of [***] on the Net Sales made to each such customer so referred to NTC under Section 6.",0
"The Receiving Party shall not, without the prior written approval of the Disclosing Party in each instance or unless otherwise expressly permitted in this Agreement, use for its own benefit, publish or otherwise disclose to others, or permit the use by others for their benefit or to the detriment of the Disclosing Party, any of the Confidential Information.  This Agreement constitutes the sole understanding of the parties with respect to the subject matter hereof and may not be amended or modified except in writing signed by each of the parties hereto. ",0
Transporter shall be obligated to provide such minimum pressures only to the extent that capacity is reserved by Shipper and scheduled by Transporter at the Primary Delivery Point(s) described above.,0
"[***], Valeant hereby grants to Dova a fully paid-up, royalty free, non-transferable, non- exclusive license (with a limited right to sub-license to its Affiliates) to any Valeant Property that appears on, embodied on or contained in the Product materials or Product Labeling solely for use in connection with Dova's promotion or other commercialization of the Product in the Territory.",1
"4. Recipient and each of its Representatives shall use all Classified Information disclosed by VELCO solely in connection with the work referenced in the Whereas clauses and shall not use, directly or indirectly, any information for any other purpose without VELCO’s prior written consent.  A Recipient will not use or allow a Representative to use Classified Information directly or indirectly for any illegal purpose, non-legitimate purpose, or any purpose other than the work referenced in the Whereas clause. ",1
"iPass grants to Channel Partner a nonexclusive, terminable right to:<omitted>(iii) install and execute the Server Software on up to three (3) designated servers and one backup server for Channel Partner and for each End User.",1
"Transporter reserves the right to reject any and all shipments of: (i) Crude Petroleum delivered by Shipper to Transporter whose gravity, viscosity, and/or other characteristics are such that it is not readily susceptible to transportation through the Transporter's existing facilities and it will damage the quality of other shipments or cause disadvantage to other shippers and/or the Transporter; (ii) Crude Petroleum containing water, sediment and other impurities totaling in excess of one per cent as determined by centrifugal test, or by such other tests as may be agreed upon by the Shipper and Transporter; or (iii) Crude Petroleum where Shipper has failed to comply with all applicable laws, rules, and regulations made by any governmental authorities regarding shipment of Crude Petroleum.",1
"Unless otherwise consented to by Parent in advance in writing, <omitted> during the period from the date of this Agreement until the Effective Time, the Company shall, and shall cause each Company Subsidiary to, conduct its business in all material respects in the ordinary course of business, consistent with past practice, and use reasonable best efforts to (Pages 48-49)",1
"Accordingly, the parties agree that the validity, interpretation and legal effect of this Agreement shall be governed by the internal laws of the State of New York, U.S.A., applicable to contracts entered in and performed entirely within the State of New York, U.S.A. without regard to any conflict of law principles.",0
"Company further warrants that the Products sold hereunder shall be free from defects in design, materials and workmanship for a period of twenty-four (24) months after delivery to Distributor's end-user.",1
"Minimum Payment Schedule (All amounts are in US Dollars):<omitted>PAYMENT YEAR MINIMUM PAYMENT ACCESS FEE SECOND COMPONENT Year 1 $400,000 $300,000 $100,000 Year 2 $700,000 $300,000 $400,000 Year 3 $1,100,000 $300,000 $800,000 Year 4 $1,600,000 $300,000 $1,300,000 Year 5 $2,100,000 $300,000 $1,800,000",0
"Achaogen may terminate this Agreement in its entirety, for any reason, by providing at least sixty (60) days prior written notice to Microgenics.",0
"Except as set forth in this Section 11.8 or Section 2.3, and except for a Change of Control under Section 10.4(b)(7) that does not provide Monsanto termination rights under this Agreement, neither this Agreement nor any of the rights, interests, or obligations hereunder shall be transferred, delegated, or assigned by a party (by operation of law or otherwise) without the prior written consent of the other party.",1
The 15% royalty payable on the first U.S. $3 Billion of total annual worldwide Net Sales under this Section 6.3 shall be reduced to 12% if all of the following occur: (i) all Theravance Compounds are discontinued by the collaboration for Technical Failure; (ii) Theravance only contributes one Theravance New Compound to the collaboration within 18 months following the Effective Date; and (iii) the Collaboration Product upon which the royalty is payable contains a LABA that is one of the GSK Initially Pooled Compounds.,0
"“Material Adverse Effect” means, with respect to the BancShares Parties, CIT or the Surviving Bank, as the case may be, any effect, change, event, circumstance, condition, occurrence or development (including such effect, change, event circumstance, condition, occurrence or development with respect to any matter whether or not pending as of the date of this Agreement that causes such matter (even if not a Material Adverse Effect previously) to constitute a Material Adverse Effect thereafter) that, either individually or in the aggregate, has had or would reasonably be expected to have a material adverse effect on (i) the business, properties, assets, liabilities, results of operations or financial condition of such party and its Subsidiaries taken as a whole (provided, however, that, with respect to this clause (i), Material Adverse Effect shall not be deemed to include the impact of (A) changes, after the date hereof, in U.S. generally accepted accounting principles (“GAAP”) or applicable regulatory accounting requirements, (B) changes, after the date hereof, in laws, rules or regulations (including the Pandemic Measures) of general applicability to companies in the industries in which such party and its Subsidiaries operate, or interpretations thereof by courts or Governmental Entities, (C) changes, after the date hereof, in global,     8      national or regional political conditions (including the outbreak of war or acts of terrorism) or in economic or market (including equity, credit and debt markets, as well as changes in interest rates) conditions affecting the financial services industry generally and not specifically relating to such party or its Subsidiaries (including any such changes arising out of the Pandemic), (D) changes, after the date hereof, resulting from hurricanes, earthquakes, tornados, floods or other natural disasters or from any outbreak of any disease or other public health event (including the Pandemic), (E) public disclosure of the transactions contemplated hereby or actions expressly required by this Agreement or that are taken with the prior written consent of the other party in contemplation of the transactions contemplated hereby, or (F) a decline in the trading price of a party’s common stock or the failure, in and of itself, to meet earnings projections or internal financial forecasts, but not, in either case, including any underlying causes thereof; except, with respect to subclause (A), (B), (C) or (D), to the extent that the effects of such change are materially disproportionately adverse to the business, results of operations or financial condition of such party and its Subsidiaries, taken as a whole, as compared to similar companies in the banking industry) or (ii) the ability of such party to timely consummate the transactions contemplated hereby. (Pages 16-17)",1
"In no event shall any party be responsible to the other for indirect, special or consequential damages.",1
"Products. Any failure of Endorser to disclose such conflicting interests, or any breach of this Section, shall be deemed a material breach of the Agreement.",0
